Date,Store_ID,Sales,Cost_of_Goods_Sold,Inventory_Available,Items_Sold,Customer_Visits,Transactions,Employee_Count,Customer_Feedback_Score,Gross_Margin,Average_Transaction_Value,Sell_Through_Rate,Conversion_Rate
2023-01-01,Store_3,278.84,57.46,1310.0,12.0,973.0,161.0,10,5,79.39320040166403,1.73,0.01,16.55
2023-01-02,Store_1,104.97,280.44,1367.0,18.0,139.0,91.0,20,1,-167.16204629894256,1.15,0.01,65.47
2023-01-03,Store_3,833.92,151.92,1413.0,71.0,902.0,132.0,20,4,81.78242517267844,6.32,0.05,14.63
2023-01-04,Store_3,736.17,340.33,1011.0,16.0,575.0,175.0,30,3,53.77018895092166,4.21,0.02,30.43
2023-01-05,Store_1,756.11,128.46,1002.0,39.0,994.0,191.0,25,4,83.01040853844017,3.96,0.04,19.22
2023-01-06,Store_1,794.14,360.92,1298.0,86.0,166.0,46.0,15,5,54.55209408920341,17.26,0.07,27.71
2023-01-07,Store_3,166.64,224.03,1150.0,12.0,598.0,187.0,25,1,-34.439510321651476,0.89,0.01,31.27
2023-01-08,Store_2,422.62,471.53,1202.0,83.0,972.0,109.0,25,1,-11.573044342435276,3.88,0.07,11.21
2023-01-09,Store_3,204.28,111.88,1296.0,35.0,571.0,66.0,20,5,45.232034462502455,3.1,0.03,11.56
2023-01-10,Store_3,876.79,203.48,1390.0,21.0,666.0,103.0,25,5,76.79261852895219,8.51,0.02,15.47
2023-01-11,Store_3,660.97,101.06,838.0,73.0,726.0,196.0,10,3,84.71034994023935,3.37,0.09,27.0
2023-01-12,Store_3,397.81,466.11,876.0,67.0,509.0,109.0,20,1,-17.169000276513916,3.65,0.08,21.41
2023-01-13,Store_1,157.2,444.8,594.0,89.0,665.0,79.0,10,4,-182.95165394402036,1.99,0.15,11.88
2023-01-14,Store_3,379.88,166.07,1078.0,76.0,626.0,134.0,15,2,56.28356323049384,2.83,0.07,21.41
2023-01-15,Store_2,392.66,346.99,536.0,82.0,911.0,63.0,20,2,11.630927519991854,6.23,0.15,6.92
